"date","demand"
2015-10-04,1342532
2015-10-05,1552139
2015-10-06,1592442
2015-10-07,1581191
2015-10-08,1594488
2015-10-09,1564701
2015-10-10,1420249
2015-10-11,1357886
2015-10-12,1575149
2015-10-13,1637181
2015-10-14,1638538
2015-10-15,1681225
2015-10-16,1655121
2015-10-17,1475308
2015-10-18,1459842
2015-10-19,1670728
2015-10-20,1641616
2015-10-21,1637488
2015-10-22,1580028
2015-10-23,1629229
2015-10-24,1441837
2015-10-25,1485374
2015-10-26,1627816
2015-10-27,1674857
2015-10-28,1679041
2015-10-29,1656713
2015-10-30,1639101
2015-10-31,1448011
2015-11-01,1460087
2015-11-02,1705601
2015-11-03,1753440
2015-11-04,1741335
2015-11-05,1712038
2015-11-06,1642248
2015-11-07,1461922
2015-11-08,1421717
2015-11-09,1597123
2015-11-10,1602862
2015-11-11,1620076
2015-11-12,1606439
2015-11-13,1584376
2015-11-14,1523058
2015-11-15,1406864
2015-11-16,1606681
2015-11-17,1693853
2015-11-18,1641710
2015-11-19,1697116
2015-11-20,1696586
2015-11-21,1592336
2015-11-22,1656392
2015-11-23,1856223
2015-11-24,1818429
2015-11-25,1796031
2015-11-26,1805281
2015-11-27,1688309
2015-11-28,1560413
2015-11-29,1521527
2015-11-30,1803055
2015-12-01,1767096
2015-12-02,1724271
2015-12-03,1766660
2015-12-04,1670694
2015-12-05,1524741
2015-12-06,1514648
2015-12-07,1705864
2015-12-08,1688366
2015-12-09,1729866
2015-12-10,1758748
2015-12-11,1747643
2015-12-12,1654725
2015-12-13,1664156
2015-12-14,1839852
2015-12-15,1811547
2015-12-16,1721391
2015-12-17,1676621
2015-12-18,1640685
2015-12-19,1436057
2015-12-20,1394681
2015-12-21,1641735
2015-12-22,1602999
2015-12-23,1541199
2015-12-24,1451864
2015-12-25,1352551
2015-12-26,1248036
2015-12-27,1371959
2015-12-28,1355858
2015-12-29,1405989
2015-12-30,1467863
2015-12-31,1451906
2016-01-01,1409280
2016-01-02,1443410
2016-01-03,1480766
2016-01-04,1732697
2016-01-05,1780970
2016-01-06,1794515
2016-01-07,1738208
2016-01-08,1807356
2016-01-09,1617150
2016-01-10,1555424
2016-01-11,1855789
2016-01-12,1837395
2016-01-13,1885572
2016-01-14,1879008
2016-01-15,1873298
2016-01-16,1786940
2016-01-17,1751028
2016-01-18,1956345
2016-01-19,1984551
2016-01-20,1978255
2016-01-21,1935659
2016-01-22,1792970
2016-01-23,1600333
2016-01-24,1518704
2016-01-25,1672560
2016-01-26,1723766
2016-01-27,1725535
2016-01-28,1722321
2016-01-29,1674051
2016-01-30,1512407
2016-01-31,1575236
2016-02-01,1660790
2016-02-02,1694545
2016-02-03,1792773
2016-02-04,1773427
2016-02-05,1684655
2016-02-06,1565167
2016-02-07,1465465
2016-02-08,1742507
2016-02-09,1772464
2016-02-10,1799936
2016-02-11,1834280
2016-02-12,1836365
2016-02-13,1666761
2016-02-14,1576983
2016-02-15,1828337
